ID,Sitio,MO_pct,N_total_pct,P_disponible_ppm,Arena_pct,Arcilla_pct,Densidad_aparente_g_cm3
S069,Vega,4.11,0.205,20.8,37.5,32.8,1.267
S070,Vega,4.01,0.213,21.9,31.3,35.8,1.161
S071,Vega,3.41,0.178,14,42,29.5,1.294
S072,Vega,3.25,0.174,18.1,33.4,37.3,1.223
S073,Vega,4.44,0.235,22.7,36.4,34.2,1.253
S074,Vega,4.68,0.227,28.1,30.8,40,1.222
S075,Vega,3.02,0.18,20.4,23.2,39.6,1.182
S076,Vega,2.71,0.13,17.4,41.7,25.7,1.292
S077,Vega,3.85,0.184,20,35.7,26.9,1.314
S078,Vega,4.17,0.217,21.1,34.6,29.7,1.208
S079,Vega,2.87,0.178,17.6,35,39,1.21
S080,Vega,3.56,0.153,15.6,40.1,32.5,1.361
S081,Vega,3.39,0.197,20,48.9,22.5,1.4
S082,Vega,3.9,0.227,22.7,60.1,16.2,1.457
S083,Vega,4.8,0.258,25.6,48.1,33.9,1.236
S084,Vega,4.71,0.228,26.1,31.9,28.6,1.189
S085,Vega,3.11,0.161,18.4,34.4,28.5,1.289
S086,Vega,5.12,0.287,27,31.5,29.7,1.219
S087,Vega,4.01,0.184,20.7,35.6,40.2,1.282
S088,Vega,3.33,0.177,14.2,42.6,30.8,1.329
S089,Vega,3.65,0.189,21,48.1,25.5,1.237
S090,Vega,3.32,0.201,19.7,42.2,29.3,1.312
