Parcela,Tratamiento,Bloque,Altura_cm,Biomasa_g,Area_foliar_cm2,Diametro_tallo_mm,Conductancia_mmol,Potencial_hidrico_MPa,Temp_hoja_C,N_foliar_pct,Clorofila_SPAD,P_foliar_pct,Dias_floracion,Dias_madurez,Rendimiento_kg_ha
PAR018,Riego,B1,111.3,341.1,2287.5,12.97,311.1,-1.015,26.12,3.275,41.9,0.2748,67.5,124.5,5239.8
PAR019,Fertilizacion,B1,90.6,280.8,2386,12.03,251.8,-1.438,28.07,4.125,50.8,0.374,68.9,123.3,5840.4
PAR020,Riego+Fert,B1,109.4,366.1,2704.4,13.51,309.7,-1.195,27.94,3.395,46.7,0.3722,64.5,121.4,5913.6
PAR021,Testigo,B1,82.9,243.6,2097.8,13.34,253.1,-1.538,26.88,3.268,50.1,0.3316,68.2,125.4,4938.3
PAR022,Riego,B1,103.2,328.2,2358.9,14.01,250.2,-1.669,29.51,3.351,40.2,0.3346,65.7,118.4,5408.2
PAR023,Fertilizacion,B1,109.1,313.6,2271.3,14.18,,-1.483,27.78,3.513,44.6,0.3187,68,121.9,5968.6
PAR024,Riego+Fert,B1,125.4,385.3,2587.3,14.58,378.4,-0.694,22.5,4.246,52.8,0.3941,75.6,128.5,6227.3
PAR025,Testigo,B1,81.7,220.3,1695.4,11.33,221.1,-1.542,28.81,3.629,40.9,0.3194,66.7,120.3,4257.7
PAR026,Riego,B1,102.7,333.8,2209.1,14.61,265.1,-1.49,29.08,2.734,41.4,0.2799,63.9,116.8,4845.6
PAR027,Fertilizacion,B1,91.8,297.5,1912.4,13.56,220.4,-1.675,30.86,3.273,43.3,0.322,64.5,118.8,5020.2
PAR028,Riego+Fert,B1,93.6,332.5,1982.6,12.23,316.8,-1.201,25.82,3.236,45.3,0.3296,75.7,130.6,4738.4
PAR029,Testigo,B1,120.8,427.4,2744.7,15.38,270.8,-1.331,28.49,2.898,38.3,0.2951,63.5,114.9,5194.5
PAR030,Riego,B1,107.1,346.7,2246.6,13.47,209.2,-1.573,29.78,3.036,45.3,0.355,69.1,132.1,5683.9
PAR031,Fertilizacion,B1,112.1,345.3,2358.7,11.98,210.4,-1.845,29.2,3.238,40.8,0.3306,74.8,131.2,5290.2
PAR032,Riego+Fert,B1,111.7,390.6,2344,15.73,311.7,-1.122,26.1,3.123,44.4,0.3083,64.7,119.3,6013.5
PAR033,Testigo,B1,93.5,273.2,2051.8,11.33,271.7,-1.271,26.5,2.281,31.5,0.2623,68.6,126.6,4452
PAR034,Riego,B1,107.2,376.6,2591.8,14.86,263.4,-1.501,26.22,3.164,40.5,0.3161,75.3,135.7,5450.3
PAR035,Fertilizacion,B1,103.3,325.7,2156.9,13.23,254.8,-1.463,28.78,3.641,47.8,0.3576,69.7,123.4,5137.7
PAR036,Riego+Fert,B1,123.4,399.4,2837.8,16.17,283.4,-1.085,27.16,3.304,45.5,0.32,68.4,119.8,5809.5
PAR037,Testigo,B1,97.3,337.3,2128.2,12.94,252.5,-1.613,27.06,3.188,44.6,0.2866,59.2,109.8,4881.5
PAR038,Riego,B1,96.3,337.6,2233.4,13.29,261.9,-1.648,26.74,3.674,46.6,0.3256,62.7,120.3,5628.1
PAR039,Fertilizacion,B1,85.1,272.9,1861,12.97,257.3,-1.534,27.2,3.617,44.3,0.335,67.8,127.8,4744.6
PAR040,Riego+Fert,B1,120.3,404,2917.7,14.99,279,-1.304,25.66,3.551,51.4,0.3532,64.2,122.6,6193
PAR041,Testigo,B1,93.5,329.2,2215.8,13.64,233.7,-1.738,31,2.919,37.5,0.2693,63.2,114.6,4497.3
PAR042,Riego,B1,101.5,302.1,2103.1,12.03,308.5,-1.18,26.03,2.946,41.8,0.3068,68.1,116.8,4920.1
PAR043,Fertilizacion,B1,106,367.3,2473.9,13.61,208.2,-1.876,29.24,3.881,49.6,0.3794,69.9,123.4,6491.4
PAR044,Riego+Fert,B1,98.9,298.6,1707,13.2,292.2,-1.17,29.26,3.313,46,0.3173,66.7,119,5623.4
PAR045,Testigo,B1,93.1,305,2011.4,12.75,252.6,-1.238,27.36,2.48,37.4,0.267,71.8,130,4682.9
PAR046,Riego,B1,112.1,364.9,2432.6,15.14,272.1,-1.284,26.49,2.88,NA,0.2552,75.6,132.4,5201.1
PAR047,Fertilizacion,B1,80.1,233.4,1867.5,11.99,303.1,-1.292,26.72,3.218,45,0.3333,73.1,131.1,4712.8
PAR048,Riego+Fert,B1,115.9,363,2523.1,14.92,333.3,-1.051,25.68,3.262,44.7,0.3065,62.9,124.3,6016.9
PAR049,Testigo,B1,98.4,283.4,2050.7,11.58,298.6,-1.354,27.29,3.258,43.2,0.3118,67,123.6,4559.5
PAR050,Riego,B1,89.5,302.3,1903.9,12.55,239.2,-1.751,29.83,3.144,43.8,0.3068,61.7,119.7,4728.7
PAR051,Fertilizacion,B2,94.5,377.3,2373.2,13.3,278.6,-1.233,25.78,3.527,45.7,0.3311,69.6,118.5,5348.1
PAR052,Riego+Fert,B2,101.6,422.6,2452.9,14.41,282.3,-1.454,27.83,3.349,43.9,0.3084,72.9,135.7,6000.6
PAR053,Testigo,B2,105.1,293.8,2039.3,13.52,304.4,-1.496,27.7,2.857,41.4,0.3341,68.5,126.5,4694.4
PAR054,Riego,B2,92.2,324.3,2125.4,13.69,279.4,-1.421,28.65,3.186,36.5,0.3054,72.6,130,4964.2
PAR055,Fertilizacion,B2,108.8,348.2,2316.4,13.52,222.9,-1.911,30.91,4.061,50.3,0.3722,68.1,118.2,6284.3
PAR056,Riego+Fert,B2,108.1,345.8,2576.5,14.94,264.5,-1.354,28.44,3.146,44.3,0.3445,63.5,123.8,5658.5
PAR057,Testigo,B2,74.4,237.8,1251.1,8.96,214,-1.915,28.71,3.005,42.2,0.3268,73.1,128.4,3976.5
PAR058,Riego,B2,80.6,272.8,1617.2,9.74,255.2,-1.594,26.55,2.258,32.4,0.2265,69.2,123.7,3191.9
PAR059,Fertilizacion,B2,114.9,420.2,2555.4,14.09,248.1,-1.461,27.79,3.326,41.9,0.2892,63.8,115.1,6179.4
PAR060,Riego+Fert,B2,88.9,317.9,1902.4,11.69,290.3,-1.352,27.68,3.68,51.1,0.3777,64.3,118.6,5016.5
PAR061,Testigo,B2,109.1,373.4,2269,13.84,271.5,-1.245,26.94,2.981,40.6,0.3274,62.3,113.7,5520.6
PAR062,Riego,B2,120,,2935.9,16.07,318,-1.234,26.23,2.964,40,0.2693,80.6,138.1,5646.6
PAR063,Fertilizacion,B2,98.2,291.2,2009.8,13.32,276.5,-1.52,28.34,3.715,55.6,0.344,65.2,121,5976.5
PAR064,Riego+Fert,B2,107.5,344.1,2480.1,13.45,268.4,-1.24,26.87,3.532,45.7,0.3289,66.4,119.2,5697.4
PAR065,Testigo,B2,117.6,363.7,2609.9,14.87,240.9,-1.387,26.16,3.108,40.6,0.2955,70.7,123.9,5881.6
PAR066,Riego,B2,105.7,378.3,2674.8,14.25,276.5,-1.249,27.3,3.431,46.3,0.3382,66.6,120.2,6087.2
PAR067,Fertilizacion,B2,97.6,308.1,2462.5,13.38,240.5,-1.724,30.2,3.94,50.4,0.3676,65.7,115.2,5511.2
PAR068,Riego+Fert,B2,121.3,402.9,2920.7,15.22,288.6,-1.21,26.68,3.31,43.4,0.3335,64.2,122,6013.9
PAR069,Testigo,B2,83.6,218.5,1847,11.14,265.6,-1.504,26.31,3.37,39.7,0.2987,68.4,125.7,4419.7
PAR070,Riego,B2,94.7,336.7,1997,12.5,281.2,-1.41,26.47,2.558,36.6,0.2588,68.6,125.3,4031.6
PAR071,Fertilizacion,B2,101.7,367,2591.4,14.62,271.2,-1.304,28.38,3.548,51.4,0.3958,67.6,126.5,6740.5
PAR072,Riego+Fert,B2,130.8,451,2837.9,18.02,303.3,-1.086,25.64,3.036,41.1,0.3156,62,115.7,6023.7
PAR073,Testigo,B2,81.4,253.7,1889.9,10.23,214.2,-1.807,30.54,2.99,44.5,0.308,66.4,122.4,4257.6
PAR074,Riego,B2,92.1,359.6,1954.6,12.91,310.9,-1.195,26.14,3.402,46,0.3591,67.4,125.7,5726.4
PAR075,Fertilizacion,B2,96.8,352.3,2215.1,13.5,180.7,-2.054,30.27,3.391,40.7,0.283,75,129.9,5324.1
PAR076,Riego+Fert,B2,97.6,342.2,2306.7,12.72,272.6,-1.313,27.3,3.356,44.3,0.3101,73,123.3,5199.3
PAR077,Testigo,B2,109.5,328.1,2447.4,14.41,254.1,-1.351,28.95,3.106,42.2,0.2932,67.2,129,5261.9
PAR078,Riego,B2,103.9,325.7,2069.7,12.47,285.8,-1.093,26.61,3.657,44.1,0.3495,65.7,127.2,5698.8
PAR079,Fertilizacion,B2,96.9,352.3,2072.6,13.83,259.4,-1.396,28.25,3.402,43.2,0.3151,76.2,135.6,5054.7
PAR080,Riego+Fert,B2,122.5,423,2797.2,15.22,233.3,-1.486,28.92,4.012,52.1,0.3623,66.3,115.1,6321.4
PAR081,Testigo,B2,111.7,383.7,2672.9,13.82,224.9,-1.775,29.35,3.28,44.8,0.3331,65.7,121.4,5830
PAR082,Riego,B2,113.1,406.6,2497.4,13.61,274.4,-1.249,27.61,3.025,42.5,0.3084,62.5,113.4,5616
PAR083,Fertilizacion,B2,96.8,350.4,2209.7,14.38,232.3,-1.672,27.9,3.6,50.1,0.3696,69.7,131.8,5381.4
PAR084,Riego+Fert,B2,117.7,414.6,2730.1,14.94,350.5,-0.925,23.79,3.618,51,0.3673,63.3,114.5,6109
PAR085,Testigo,B2,81.8,294.4,2097.4,12.75,206.2,-1.695,28.97,2.852,40.9,0.3026,64.1,112.1,4434.2
PAR086,Riego,B2,125.9,414.8,2808.1,14.77,286.4,-1.28,25.79,3.161,42.8,0.3329,68.9,120.3,5658.8
PAR087,Fertilizacion,B2,90.3,248.6,1958,11.73,211.7,-1.844,28.3,3.461,44.5,0.3204,69.1,133.4,4419.1
PAR088,Riego+Fert,B2,111.2,405.4,2664.7,14.28,292.6,-1.356,25.73,3.525,45.3,0.3427,64.2,119.8,6316.3
PAR089,Testigo,B2,106.8,355.3,2244.3,14.88,253.5,-1.924,NA,2.415,37.7,0.2724,58.7,116.1,4797.1
PAR090,Riego,B2,96.7,367.1,2024,11.83,254.3,-1.629,28.22,2.897,38.6,0.2653,62,114.9,5005.6
PAR091,Fertilizacion,B2,108.3,390.6,2584.2,13.55,245.6,-1.486,29.39,3.498,42.1,0.3214,62.9,117.5,5747.6
PAR092,Riego+Fert,B2,107.2,348,2299.1,14.18,291.3,-1.429,27.57,3.232,42.4,0.3089,73.3,142.6,5287.5
PAR093,Testigo,B2,95.7,296.7,1913.9,11.34,254.8,-1.363,27.45,2.832,39.8,0.2797,64.4,126.9,4112.8
PAR094,Riego,B2,101.1,302.8,2216.2,12.9,238.9,-1.71,29.39,2.91,37.7,0.2801,68.2,124.3,4633.5
PAR095,Fertilizacion,B2,97.7,366.5,2356,13.08,258.2,-1.467,28.47,3.181,38.9,0.2919,67.7,121.4,4967.5
PAR096,Riego+Fert,B2,120.5,427.2,2993.1,15.09,266.2,-1.215,27.86,3.577,50.1,0.3103,65.2,119.7,6199.3
PAR097,Testigo,B2,106,317.1,2197,12.64,307.2,-1.53,27.42,3.344,41.1,0.2733,72.6,130.7,5128.5
PAR098,Riego,B2,86.6,279.4,2086.4,10.88,284.4,-1.097,24.83,2.986,39.3,0.2992,65.8,118.7,4188.9
PAR099,Fertilizacion,B2,102.1,361.4,2492.3,14.12,252.4,-1.695,27.67,4.152,51.2,0.3664,74.6,136.6,6315.1
PAR100,Riego+Fert,B2,106.6,384.7,2432.9,16.2,252.9,-1.552,27.29,3.662,45.8,0.323,75,127.3,5787.5
PAR101,Testigo,B3,84.6,267.3,1793.6,11.41,217.7,-1.742,29.25,3.279,47,0.3148,75.6,128.3,4107.8
PAR102,Riego,B3,95.5,329.1,2030.4,12.6,244.5,-1.348,27.14,3.205,47.5,0.329,71.7,129.7,4839.1
PAR103,Fertilizacion,B3,114.6,327.8,2719.3,15.53,289.7,-1.137,28.34,3.141,38.6,0.283,76.7,132,5309.1
PAR104,Riego+Fert,B3,116.3,366.2,2628.4,15.14,250.4,-1.456,27.47,4.128,54.2,,68.7,118.9,6284
PAR105,Testigo,B3,95.9,344.5,1991.9,13.18,249.1,-1.315,28.3,3.696,49.3,0.3697,60,111.9,5708.4
PAR106,Riego,B3,105.6,355,2352.5,14.29,261,-1.328,27.98,3.243,46.5,0.316,78.3,134.5,5495.1
PAR107,Fertilizacion,B3,111.6,362.2,2554.6,14.62,274.1,-1.471,26.18,3.475,46,0.3055,73.2,126.2,5753.1
PAR108,Riego+Fert,B3,120,398.7,2834.2,14.44,257.8,-1.465,28.3,3.532,46.3,0.3292,63.6,120.9,6902.7
PAR109,Testigo,B3,101.7,320.7,2365.3,12.88,221.5,-1.9,28.72,3.421,39.5,0.3014,73,132.7,4645.2
PAR110,Riego,B3,80.8,255.6,1904.7,10.72,266.6,-1.822,27.51,3.325,42.1,0.3163,69.2,125.1,4371.7
PAR111,Fertilizacion,B3,96.5,291.4,2375.5,12.72,207.9,-1.822,30.44,2.583,38.7,0.2833,66.4,117.8,4533.4
PAR112,Riego+Fert,B3,128,442.8,2808.3,16.41,278.3,-1.267,26.73,2.604,39.7,0.2611,66.6,121.4,6045.4
PAR113,Testigo,B3,96.5,349.3,2352.5,13.63,199.4,-1.812,31.01,2.913,41.1,0.3028,64.4,118.8,4815.5
PAR114,Riego,B3,84.6,268.2,2366.5,10.84,288.7,-1.486,28.05,2.818,39,0.2543,67.5,128.2,3909.6
PAR115,Fertilizacion,B3,113.8,348.5,2278.9,15.17,149.7,-1.898,30.77,3.01,37.4,0.2664,76.9,133.2,5109.4
PAR116,Riego+Fert,B3,128.5,451.3,2828.7,16.36,273.4,-1.009,26.49,3.68,47.3,0.3479,58.6,116.5,6119.6
PAR117,Testigo,B3,93.2,350.5,2185.5,12.71,225.1,-1.5,28.47,2.629,43.8,0.2588,65.8,115.3,4726.3
PAR118,Riego,B3,90.9,312.9,1729.7,10.87,305.1,-1.242,26.7,2.888,40.8,0.2867,71.2,133.8,4812.3
PAR119,Fertilizacion,B3,111.3,347.6,2273.9,12.62,242,-1.735,30.63,3.419,46.2,0.3336,70.4,126.5,5415.5
PAR120,Riego+Fert,B3,111.1,383.2,2350.6,13.86,258.4,-1.279,26.59,3.762,51.1,0.3536,69.9,130.8,5806.3
PAR121,Testigo,B3,106.4,297.4,2148.6,13.68,227.9,-1.77,29.4,3.035,42.8,0.3261,73.4,130.5,4996
PAR122,Riego,B3,115.9,357.8,2664.3,14.71,214.4,-1.723,29.53,3.193,42.3,0.3064,70.2,132.5,5794.3
PAR123,Fertilizacion,B3,100,242.2,2086.3,12.53,275.6,-1.138,26.68,3.688,47.6,0.368,62.6,113.7,5569.5
PAR124,Riego+Fert,B3,91.3,347.6,2166.6,13.46,251,-1.567,28.61,3.048,44.8,0.2952,71,126.8,4925.5
PAR125,Testigo,B3,103.1,345.5,2498.1,13,239.8,-1.426,27.4,3.02,40.7,0.2673,61.2,116.1,4884
PAR126,Riego,B3,83.5,274.2,2115.4,11.64,267.4,-1.429,28.45,3.396,46.3,0.3576,65.2,116.1,5021.2
PAR127,Fertilizacion,B3,131,417.7,2880.3,17.36,242.1,-1.726,29.31,3.843,48.9,0.3725,64.4,123.5,7162.8
PAR128,Riego+Fert,B3,118.1,380.9,2746.1,14.03,343.5,-0.987,25.76,3.189,41.5,0.2838,64.2,118.9,5847.1
PAR129,Testigo,B3,86.4,272.7,2048.5,11.8,262,-1.498,28.71,2.548,34.8,0.2855,70.2,122.6,4072.5
PAR130,Riego,B3,106.6,386.9,2787.1,15.61,262.2,-1.339,26.82,3.206,44.9,0.318,72.9,123.9,6085.8
PAR131,Fertilizacion,B3,101.3,325.5,1986.9,,183.4,-1.813,31.1,3.692,44.6,0.366,63.6,115.6,5997.2
PAR132,Riego+Fert,B3,122.2,427,2614,15.23,297.6,-0.905,24.47,2.838,42,0.318,65.3,121.3,5733.7
PAR133,Testigo,B3,111.3,350.8,2190.7,13.75,308.8,-1.26,28.21,3.163,45.6,0.3294,67.3,126.9,5101
PAR134,Riego,B3,91.3,337,2184.4,11.87,260.6,-1.244,26.52,2.529,31.4,0.2252,65,124.4,4056.1
PAR135,Fertilizacion,B3,121.9,385.4,2400,15.24,296.3,-1.462,28.61,3.021,43.8,0.3098,67.9,116.8,5421.4
PAR136,Riego+Fert,B3,101.5,415.1,2709.5,13.34,275.9,-1.447,24.77,3.651,50.1,0.3682,54.5,107.5,5959.2
PAR137,Testigo,B3,83.6,279.6,1749.3,10.75,221.9,-1.702,29.05,2.989,42.1,0.33,74.1,129.5,4267.3
PAR138,Riego,B3,101.9,335,2330.8,12.38,330.3,-1.056,23.98,2.878,43.8,0.2856,55.4,104.3,4807.3
PAR139,Fertilizacion,B3,101.3,319.5,2270.6,12.66,237.3,-1.554,29.07,3.024,41.6,0.2911,68.1,124,5343.8
PAR140,Riego+Fert,B3,117.5,444.7,2675,16.13,353.3,-0.676,23.8,3.394,46.6,0.3468,65.1,126.7,6165.2
PAR141,Testigo,B3,92,295.1,2347.3,11.71,179.3,-1.672,30.47,3.206,42.8,0.3171,75.3,141.1,5000
PAR142,Riego,B3,128.5,358.3,2375.5,15.46,301.6,-1.364,26.2,3.407,44.5,0.2996,66.6,117.9,6097.8
PAR143,Fertilizacion,B3,113.7,327.2,2529.6,13.59,267.3,-1.777,26.43,3.619,51.9,0.3317,73.4,129.3,6023.4
PAR144,Riego+Fert,B3,98.5,355.9,2168,13.86,257.9,-1.624,25.52,3.488,45.2,0.3344,66.3,127.9,5380.9
PAR145,Testigo,B3,104.9,387.4,2414.5,13.43,268,-1.366,27.69,2.961,40.1,0.2772,66.3,114.2,5316.6
PAR146,Riego,B3,86.5,271.8,2075.4,11.67,317,-0.717,23.9,3.083,43.6,0.3335,64.6,123.1,4539.6
PAR147,Fertilizacion,B3,102.6,311.8,2112,12.56,225.2,-1.642,29.09,3.054,44.7,0.329,66.2,124.8,5068
PAR148,Riego+Fert,B3,93.3,321.1,2110.4,12.95,288.9,-1.209,25.61,2.691,39.2,0.2925,72.9,134.3,4364.9
PAR149,Testigo,B3,127.2,473.7,3179.7,15.69,276,-1.659,25.73,3.047,39,0.3188,60.2,114.7,6302.2
PAR150,Riego,B3,106.1,308.6,2083.3,13.21,224,-1.527,27.71,3.435,45.7,0.3535,72.5,136.7,5592.6
