ID,Especie,Largo_mm,Ancho_mm,Area_mm2,Peso_mg,Grosor_mm,Dureza_N,Aceite_pct,Proteina_pct,Humedad_pct
G022,Silvestre,7.24,5.03,28.63,42,2.32,24.3,28.9,20,9.12
G023,Silvestre,9.39,5.44,40.12,46.1,2.14,16.9,31.5,24.9,8.08
G024,Silvestre,6.81,3.84,20.55,21.7,1.86,19.1,27,22,9.08
G025,Silvestre,8.44,4.93,32.68,40.7,2.18,20.7,33.8,20.5,7.41
G026,Silvestre,7.13,4.27,23.93,36.1,1.92,18.6,29.2,20.7,9.54
G027,Silvestre,7.57,4.2,24.99,26,2.08,18.8,28.5,22.9,9.96
G028,Silvestre,9.08,4.75,33.83,37.8,2.31,23.1,34.1,18.7,11.61
G029,Silvestre,7.51,5.09,30,38.2,2.14,17.8,22.4,26,9.79
G030,Silvestre,8.15,4.85,31.03,34.3,2.37,19.8,27.2,22.4,9.8
G031,Silvestre,6.54,3.93,20.15,34.1,1.75,14.9,24.7,24.8,8.65
G032,Silvestre,8.32,4.54,29.68,43.5,2.03,17.2,29.5,22.9,8.87
G033,Silvestre,9.53,5.61,42.02,44.3,1.88,18,27,21.8,10.72
G034,Silvestre,8.44,4.91,32.56,32.6,1.59,12.1,28.7,23,9.89
G035,Silvestre,7.98,4.55,28.51,35.8,2.18,19.2,34.1,15.7,9.33
G036,Silvestre,7.84,4.03,24.86,31.9,1.96,17.6,31.4,19.8,10.09
G037,Silvestre,7.37,4.05,23.42,32.3,2.5,22.3,26.1,22,9.27
G038,Silvestre,7.08,3.9,21.69,33.3,2.12,19.8,26.3,23.1,9.12
G039,Silvestre,8.49,4.73,31.54,38.8,2.27,19,19.3,25.8,8.5
G040,Silvestre,7.54,4.82,28.54,33.8,2.15,18.7,23.9,27.2,9.13
G041,Silvestre,8.7,4.74,32.39,38.1,2.58,26.4,29.3,22.4,10.08
G042,Silvestre,7.64,4,24.01,34.2,2.06,18.3,26.2,22.9,10.06
G043,Silvestre,6.87,4.08,21.99,29.5,1.56,14.4,32.5,18.6,8.13
G044,Silvestre,8.05,4.49,28.37,38.5,2.16,23.9,23.9,23.4,10.94
G045,Silvestre,8.83,5.16,35.77,43,1.87,16.7,26.5,24.4,9.69
G046,Silvestre,7.38,4.35,25.2,26.7,1.76,18.4,21,25.2,10.38
G047,Silvestre,6.31,3.99,19.76,31.9,2.06,19.1,31.1,18.4,9.22
G048,Silvestre,7.77,4.14,25.28,32.8,2.53,19.7,27.6,20.6,9.55
G049,Silvestre,8.87,5.23,36.42,41.2,1.75,16.8,26.9,22.6,7.62
G050,Silvestre,8.38,5.04,33.18,42.4,1.98,19.8,29.1,22.5,9.54
G051,Silvestre,8.71,4.8,32.82,36.6,2.22,17.8,26.3,21.6,9.73
G052,Silvestre,8.75,5.28,36.28,41.5,2.48,21.6,27.5,22.2,10.56
G053,Silvestre,7.53,4.39,25.94,34.6,2.12,17,28.7,22.2,8.9
G054,Silvestre,8.66,4.83,32.86,44.6,1.98,18.9,31,16.8,8.94
G055,Silvestre,7.69,4.16,25.13,32.7,1.64,16.8,25.8,26,9.87
G056,Silvestre,8.36,4.97,32.63,42.5,2.01,17.1,26.9,22,9.9
G057,Silvestre,8.67,5.07,34.54,36.8,2.02,17.8,27.3,25.2,10.35
G058,Silvestre,8.94,4.96,34.83,42.6,2.36,24.4,39.5,30.8,9
G059,Silvestre,9.35,4.66,34.2,39.1,2.22,20.8,31.9,20,7.19
G060,Silvestre,6.77,4.48,23.86,35.7,2.08,18,28.4,24.2,11.56
G061,Cultivada,7.19,4.54,25.62,33.4,2.22,21.9,26.8,22.7,9.17
G062,Cultivada,10.73,6.31,53.18,54.3,2.25,19.7,27.9,23.4,11.06
G063,Cultivada,8.38,4.75,31.23,39.2,1.94,21.5,26.4,23.4,10.26
G064,Cultivada,6.93,4.65,25.31,36.3,2.72,22.7,25.1,21.2,10.83
G065,Cultivada,8.67,4.76,32.44,43.2,2.45,20.1,25.4,24.7,10.49
G066,Cultivada,9.26,5.33,38.76,47,1.77,15.3,30,22.2,9.29
G067,Cultivada,9.76,5.42,41.6,49.3,2.27,20.5,24.3,25.6,10.25
G068,Cultivada,9.45,5.58,41.43,44.1,1.97,18.7,28.2,23,11.29
G069,Cultivada,8.8,5.08,35.12,48.4,2.04,17.6,27.9,22.3,8.03
G070,Cultivada,8.34,4.84,31.71,40.3,1.62,17,31.7,17.8,9.15
G071,Cultivada,9.6,5.26,39.67,43.4,2.33,20.3,24.8,22.2,11.1
G072,Cultivada,7.44,4.49,26.23,31.7,2.13,20.1,31.3,18.5,10.08
G073,Cultivada,8.83,4.31,29.89,47.6,2.38,20.9,24.2,24.6,10.45
G074,Cultivada,9.21,5.37,38.85,47.5,2.92,24.9,31.1,18.6,9.68
G075,Cultivada,9.05,5.34,37.93,52.2,1.93,18.2,24,22.8,10.2
G076,Cultivada,7.4,4.7,27.3,32.3,2.2,21.7,23.5,25.2,9.28
G077,Cultivada,7.43,4.11,23.95,31.5,2.51,23.8,24.4,23.9,10.38
G078,Cultivada,8.6,5.13,34.66,46.6,2.34,20.8,28.6,22.7,7.19
G079,Cultivada,8.31,5.07,33.07,48.2,2.67,22.3,30.5,20.6,11.18
G080,Cultivada,8.63,5.13,34.73,33,2,20.5,26.6,22.1,9.35
G081,Cultivada,6.66,4.37,22.86,32.2,2.14,21,28.9,19,11.11
G082,Cultivada,9.82,5.14,39.66,52.6,1.97,19.5,23.8,24.1,9.36
G083,Cultivada,7.52,4.55,26.91,38.9,2.06,18.1,26.1,24.9,10.47
G084,Cultivada,7.3,4.58,26.27,36,2.34,22.4,29.9,20.7,10.44
G085,Cultivada,9.09,5.13,36.64,44,1.88,19.6,33.4,17.9,10.09
G086,Cultivada,9.66,6.07,46.05,47.6,1.89,15.7,25.7,23.8,8.61
G087,Cultivada,7.09,4.52,25.16,40,1.72,14.5,31.6,16.1,11.42
G088,Cultivada,8.22,4.72,30.47,39.7,2.49,24.4,24.2,22.7,10.14
G089,Cultivada,9.02,5.4,38.24,44.1,1.61,15.9,27.4,18.5,8.9
G090,Cultivada,8.6,4.76,32.11,42.9,1.65,13.9,23.5,24.2,10.11
G091,Cultivada,9.17,5.41,38.94,53,2.02,16.7,31.3,18.6,10.07
G092,Cultivada,9.42,5.36,39.69,52.5,2.25,20.9,23.1,25.6,9.69
G093,Cultivada,7.33,4.72,27.19,29.2,2.03,20.8,32.3,19.2,8.6
G094,Cultivada,10.34,5.75,46.74,55,2.08,19.7,32.6,19.3,7.54
G095,Cultivada,8.42,5,33.07,36.5,2.33,21.8,27.5,22.5,9.57
G096,Cultivada,7.84,4.79,29.48,37,1.85,17.7,27.4,21,11
G097,Cultivada,9.14,5.28,37.91,48,1.75,19.7,29.4,19.3,11.47
G098,Cultivada,8.16,4.41,28.27,30.8,2.22,22.2,23.8,23.6,8.37
G099,Cultivada,9.26,5.59,40.61,45.3,2.63,20.5,24.4,24.4,8.22
G100,Cultivada,8.17,4.8,30.83,39.3,2.05,17.9,33.6,18.4,9.44
G101,Cultivada,9.67,5.39,40.94,17.5,3.05,18.6,33.4,18.8,10.64
G102,Cultivada,6.91,4.62,25.04,28.6,2.42,18.2,31.5,20.3,10.39
G103,Cultivada,9.76,6.08,46.56,51,2.21,17.7,28.6,19.7,10.64
G104,Cultivada,9.71,5.41,41.24,51.5,2.21,20.5,24.3,22,7.11
G105,Cultivada,8.72,5.11,35.01,45.3,2.1,19.5,29.8,21.9,9.78
G106,Cultivada,11.19,6.34,55.69,51.5,1.97,23.1,19.8,24,9.22
G107,Cultivada,10.33,6.17,50.05,53.1,2.2,16.9,23.4,25.4,9.96
G108,Cultivada,6.49,4.34,22.1,31.7,2.37,19.9,27,21.8,10.93
G109,Cultivada,10.26,5.6,45.11,48.9,2.49,25.7,28.8,21.8,9.82
G110,Cultivada,8.17,5.11,32.78,44.6,2.02,21.8,23.1,21.7,10.42
G111,Cultivada,8.12,4.39,27.99,36.2,2.64,24.8,29.2,26,8.62
G112,Cultivada,9.34,5.57,40.87,51.7,2.27,19.9,28.9,23.4,9
G113,Cultivada,9.38,5.25,38.68,38.5,2.26,18.8,29.4,22.2,10.13
G114,Cultivada,8.45,4.67,30.98,37.2,2.61,23.1,30,21.1,8.47
G115,Cultivada,9.3,5.32,38.86,45.8,2.01,17.2,29.9,19.6,8.53
G116,Cultivada,8.41,5.62,37.13,44.5,1.94,21,30.1,20.3,9.74
G117,Cultivada,8.73,5.56,38.13,46,2.28,19.1,28.8,21.5,9.79
G118,Cultivada,6.53,4.04,20.73,26.8,2.24,18.2,26.1,20.8,8.45
G119,Cultivada,8.73,5,34.24,45,1.98,15.8,26.3,27.9,8.95
G120,Cultivada,8.31,5.12,33.4,35.6,2.07,18.3,29.4,21.5,9.24
